"edad","h"
0,0.200466
1,0.098037
2,0.045957
3,0.026763
4,0.016962
5,0.011299
6,0.009288
7,0.007874
8,0.008551
9,0.003988
10,0.003773
11,0.003082
12,0.00291
13,0.002846
14,0.003449
15,0.003477
16,0.003882
17,0.004167
18,0.004699
19,0.004281
20,0.004308
21,0.003935
22,0.004716
23,0.004526
24,0.004344
25,0.003948
26,0.004136
27,0.004476
28,0.004629
29,0.003514
30,0.004785
31,0.003046
32,0.00389
33,0.003716
34,0.003338
35,0.003602
36,0.00344
37,0.003223
38,0.003587
39,0.002923
40,0.004074
41,0.002508
42,0.003211
43,0.002868
44,0.002879
45,0.003187
46,0.003569
47,0.003292
48,0.003593
49,0.003521
50,0.004335
51,0.004019
52,0.004821
53,0.004974
54,0.005298
55,0.005408
56,0.005969
57,0.006277
58,0.007499
59,0.00775
60,0.008673
61,0.008867
62,0.009966
63,0.011088
64,0.012265
65,0.013365
66,0.014616
67,0.015779
68,0.016518
69,0.017622
70,0.019961
71,0.020129
72,0.023843
73,0.025471
74,0.028978
75,0.032743
76,0.036503
77,0.039651
78,0.045168
79,0.050129
80,0.056285
81,0.061098
82,0.066239
83,0.075759
84,0.084171
85,0.093684
86,0.104989
87,0.118195
88,0.139984
89,0.150343
90,0.160077
91,0.18401
92,0.2523964
93,0.283964
94,0.323964
95,0.404311
96,0.433956
97,0.487236
98,0.520947
99,0.617338
100,0.712309
