Spain, Period total fertility rates and period total fertility rates by age 40
Last modified: 24/10/2018
Year       TFR     TFR40
1922     4.098     3.709
1923     4.096     3.699
1924     4.005     3.600
1925     3.885     3.510
1926     3.932     3.558
1927     3.731     3.362
1928     3.842     3.465
1929     3.717     3.345
1930     3.695     3.342
1931     3.564     3.245
1932     3.626     3.311
1933     3.570     3.248
1934     3.363     3.059
1935     3.286     3.000
1936     3.142     2.861
1937     2.860     2.603
1938     2.550     2.295
1939     2.120     1.874
1940     3.070     2.800
1941     2.455     2.241
1942     2.522     2.314
1943     2.863     2.625
1944     2.822     2.583
1945     2.889     2.646
1946     2.686     2.450
1947     2.662     2.452
1948     2.875     2.642
1949     2.665     2.448
1950     2.473     2.278
1951     2.455     2.272
1952     2.545     2.356
1953     2.504     2.325
1954     2.436     2.268
1955     2.509     2.334
1956     2.531     2.372
1957     2.686     2.515
1958     2.716     2.550
1959     2.733     2.568
1960     2.793     2.628
1961     2.772     2.613
1962     2.811     2.655
1963     2.884     2.723
1964     3.020     2.848
1965     2.945     2.773
1966     2.932     2.769
1967     2.990     2.803
1968     2.933     2.776
1969     2.924     2.777
1970     2.901     2.755
1971     2.916     2.779
1972     2.888     2.752
1973     2.859     2.734
1974     2.896     2.766
1975     2.765     2.649
1976     2.770     2.655
1977     2.653     2.546
1978     2.542     2.443
1979     2.370     2.282
1980     2.216     2.134
1981     2.038     1.965
1982     1.942     1.872
1983     1.798     1.736
1984     1.726     1.668
1985     1.640     1.587
1986     1.556     1.509
1987     1.494     1.452
1988     1.448     1.410
1989     1.398     1.363
1990     1.361     1.330
1991     1.327     1.297
1992     1.311     1.282
1993     1.257     1.229
1994     1.188     1.162
1995     1.154     1.128
1996     1.137     1.110
1997     1.146     1.118
1998     1.124     1.095
1999     1.161     1.129
2000     1.207     1.173
2001     1.230     1.193
2002     1.252     1.212
2003     1.296     1.253
2004     1.313     1.268
2005     1.329     1.281
2006     1.362     1.310
2007     1.377     1.322
2008     1.446     1.386
2009     1.379     1.317
2010     1.369     1.303
2011     1.342     1.273
2012     1.321     1.247
2013     1.274     1.198
2014     1.320     1.239
2015     1.333     1.249
2016     1.337     1.249
